,교과목,tel,교과구분,교과코드,학점,강의실,개설학과,강의타입
34,스마트센서공학,061-659-6896,전필,SEC3001,3.0,이604,스마트전기제어공학과,일반과목
35,식품공학전공현장실습1,062-530-2140,전선,FST9034,2.0,현장실습,식품공학과,현장실습과목
36,원예생명공학현장실습 1,062-530-2060,전선,HRT4037,5.0,현장실습,원예생명공학과,현장실습과목
37,원예생명공학현장실습 2,062-530-2060,전선,HRT4027,5.0,현장실습,원예생명공학과,현장실습과목
38,중국문화의이해,061-659-7580,전선,CHS7018,3.0,인424,국제학부 중국학전공,일반과목
39,물류개론,061-659-7340,전필,LOG6001,3.0,인218,물류교통학과,일반과목
40,교육심리,062-530-2340,전공,EDU2062 ,2.0,교육303,교육학과,일반과목
41,교육평가,062-530-2340,전공,EUD2057,2.0,교육333,교육학과,일반과목
42,영미문화교육,062-530-2430,전공,EEL2007,3.0,교육425,영어교육과,일반과목
43,전문업무실습,062-530-2660,전필,LIS4001,3.0,현장실습,문헌정보학과,현장실습과목
44,정보문화사,062-530-2660,전선,LIS1003,3.0,이러닝,문헌정보학과,이러닝과목
45,현대사회의이해,062-530-2640,교선,CLT0594,3.0,사회274,사회학과,일반과목
46,심리학개론,062-530-2650,교선,CLT0046,3.0,사회대별관11,심리학과,일반과목
47,성격심리학,062-530-2650,전선,PSY2006,3.0,사회174,심리학과,일반과목
48,조직심리학,062-530-2650,전선,PSY3008,3.0,사회177,심리학과,일반과목
49,이상심리학,062-530-2650,전선,PSY2003,3.0,사회174,심리학과,일반과목
50,관광여가지리학,062-530-2680,전선,GGR2026,3.0,사회대별관14,지리학과,일반과목
51,지역개발의이해,062-530-2680,전선,GGR4055,3.0,사회428,지리학과,일반과목
52,문화역사지리학,062-530-2680,전선,GGR4035,3.0,사회대별관14,지리학과,일반과목
53,The Environment and Human Life(환경과 인간생활),062-530-2680,전선,GGR3039,3.0,사회428,지리학과,일반과목
54,분쟁의세계지리,062-530-2680,교선,CLT0833,3.0,이러닝,지리학과,이러닝과목
55,광고및마케팅커뮤니케이션,061-659-7370,전공,GBA0010,3.0,교307,글로벌경영학과,일반과목
56,광고및마케팅커뮤니케이션,061-659-7370,전공,GBA0010,3.0,교308,글로벌경영학과,일반과목
57,광고및마케팅커뮤니케이션,061-659-7370,전공,GBA0010,3.0,교309,글로벌경영학과,일반과목
58,광고및마케팅커뮤니케이션,061-659-7370,전공,GBA0010,3.0,교310,글로벌경영학과,일반과목
59,소비자학,062-530-1320,전선,HMM3006,3.0,이러닝,생활복지학과,이러닝과목
60,노인복지,062-530-1320,전선,HMM4029,3.0,이러닝,생활복지학과,이러닝과목
61,영양사현장실습,062-530-1330,전선,FDN4019,2.0,현장실습,식품영양과학부,현장실습과목
62,수산해양교육론,061-659-7190,전필,MIT0003,3.0,이학관506호,수산해양산업관광레저융합학과,일반과목
63,수산해양학 및 실습,061-659-7190,전필,MIT0007,3.0,수산해양대학813호,수산해양산업관광레저융합학과,일반과목
64,레저스포츠관광론,061-659-7190,전필,MIT0008,3.0,이학관506호,수산해양산업관광레저융합학과,일반과목
65,의학통계학,062-530-4191,전선,MED4092,3.0,진리관102,의예과,일반과목
66,국어어문규범의이해,062-530-3130,전필,KLL4024,3.0,인1-108,국어국문학과,일반과목
67,한국고전문학개론,062-530-3131,전선,KLL1002,3.0,인1-206,국어국문학과,일반과목
68,한문,062-530-3132,교선,CLT0002,3.0,인1-206,국어국문학과,일반과목
69,한국인의삶과문학,062-530-3133,교선,CLT0829,3.0,인1-108,국어국문학과,일반과목
70,말하기의전략,062-530-3134,교선,CLT0887,3.0,인1-209,국어국문학과,일반과목
71,서양의역사와문화,062-530-3240,교선,CLT0836,3.0,인3-301,사학과,일반과목
72,문화유산의이해,062-530-3240,전선,HIS1001,3.0,인3-301,사학과,일반과목
73,논리학,062-530-3220,교선,CLT0591,3.0,인1-106,철학과,일반과목
74,호남의역사와문화,062-530-3240,교선,CLT0566,3.0,이러닝,사학과,이러닝과목
75,동양고대사,062-530-3240,전선,HIS2002,3.0,이러닝,사학과,이러닝과목
76,철학과 삶,062-530-3220,교선,CLT0041,3.0,이러닝,철학과,이러닝과목
77,생명윤리,062-530-3220,교선,CLT0863,3.0,인3-306,철학과,일반과목
78,긍정적학습동기유발전략세미나,062-530-2340,전공,GR24575,3.0,교육304,교육학과,일반과목
79,일반물리1,062-530-3351,교선,CLT0095,3.0,자3-301,물리학과,일반과목
80,광전자현장실습1,062-530-3351,전선,PHY4018,3.0,현장실습,물리학과,현장실습과목
81,36.5도의물리학,062-530-3351,교선,CLT0820,3.0,이러닝,물리학과,이러닝과목
82,일반물리2,062-530-3351,교선,CLT0096,3.0,이러닝,물리학과,이러닝과목
83,일반생물2,062-530-3390,교선,CLT0098,3.0,자3-306,생물학과,일반과목
84,수학1,062-530-3330,교선,CLT0082,3.0,자3-202,수학과,일반과목
85,수학1,062-530-3330,교선,CLT0082,3.0,자3-201,수학과,일반과목
86,수학2,062-530-3330,교선,CLT0083,3.0,자3-202,수학과,일반과목
87,기초통계학,062-530-3440,교필,CLT0933,3.0,자3-205,통계학과,일반과목
88,일반화학2,062-530-3370,교선,CLT0085,3.0,자3-101,화학과,일반과목
89,5·18민주화운동과 세계의 항쟁,062-530-3916,교선,CLT0952,3.0,평생301,518연구소,일반과목
90,성찰과소통을위한글쓰기,062-530-0918,교선,CLT0888,3.0,진리관103,교육혁신본부,일반과목
91,성찰과소통을위한글쓰기,062-530-0918,교선,CLT0888,3.0,진리관103,교육혁신본부,일반과목
92,과학기술글쓰기,062-530-0918,교선,CLT0894,3.0,진리관302,교육혁신본부,일반과목
93,인문사회글쓰기,062-530-0918,교선,CLT0893,3.0,진리관202,교육혁신본부,일반과목
94,효과적인말하기,062-530-0918,교선,CLT0890,3.0,진리관301,교육혁신본부,일반과목
95,예술감성과미학,062-530-0355,교선,CLT0828,3.0,이러닝,교육혁신본부,이러닝과목
96,국외현장실습1,062-530-1275,일선,UNV5023,2.0,국외현장실습,국제협력과,현장실습과목
97,국외현장실습4,062-530-1275,일선,UNV5010,5.0,국외현장실습,국제협력과,현장실습과목
98,국외현장실습6,062-530-1275,일선,UNV5061,1.0,국외현장실습,국제협력과,현장실습과목
99,국외언어연수1,062-530-1275,교양,CLT0875,3.0,국외언어연수,국제협력과,현장실습과목
100,국외언어연수2,062-530-1275,교선,CLT0587,5.0,국외언어연수,국제협력과,현장실습과목
101,국외언어연수4,062-530-1275,교선,CLT0783,1.0,국외언어연수,국제협력과,현장실습과목
102,국외언어연수5,062-530-1275,교선,CLT0877,2.0,국외언어연수,국제협력과,현장실습과목
103,여수바다여행놀이,061-659-7026,교선,CLT0954,3.0,교407,글로벌교육원,일반과목
104,생활영어1,062-530-3635,교선,CLT0666,3.0,본부지정,언어교육원,일반과목
105,생활한국어1,062-530-3648,교선,CLT0965,3.0,진리관201,언어교육원,일반과목
106,생활한국어2,062-530-3648,교선,CLT0966,3.0,진리관304,언어교육원,일반과목
107,하계입영훈련,061-659-6523,군사,ROTC010,1.0,학군교,학군단,현장실습과목
108,연구연수1,062-530-5918,연구,GR23476,3.0,국외연구/교육기관 연수,일반대학원,연구연수과목
109,현장실습1,062-530-0393,일선,UNV4008,2.0,기업체현장,취업지원실,현장실습
110,현장실습7,062-530-0393,일선,UNV4011,2.0,기업체현장,취업지원실,현장실습
111,현장실습12,062-530-0393,일선,UNV4016,2.0,기업체현장,취업지원실,현장실습
112,현장실습13,062-530-0393,일선,UNV4017,2.0,기업체현장,취업지원실,현장실습
113,현장실습4,062-530-0393,일선,UNV4006,5.0,기업체현장,취업지원실,현장실습
114,현장실습5,062-530-0393,일선,UNV4007,5.0,기업체현장,취업지원실,현장실습
115,현장실습8,062-530-0393,일선,UNV4012,5.0,기업체현장,취업지원실,현장실습
116,현장실습9,062-530-0393,일선,UNV4013,5.0,기업체현장,취업지원실,현장실습
